"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000938.13",904.108284556535,-2.09000083864177,0.519439611410399,-4.02356846249544,5.73229103946917e-05,0.0117951585621919
"ENSG00000005844.19",1017.30434507417,-2.37447760794707,0.634775147648214,-3.74065937638594,0.000183538119256723,0.0217560837917475
"ENSG00000007129.18",91.8686836858968,-1.95457207828497,0.529157513219391,-3.69374341184983,0.000220976783110529,0.0240935124437683
"ENSG00000007264.15",201.051703746792,-2.05367147841373,0.544178969111449,-3.77388983217602,0.000160721756976389,0.020063181722797
"ENSG00000010327.10",3491.25065148039,-1.46569708689661,0.42293269887042,-3.46555631856139,0.000529135691598673,0.037954849018442
"ENSG00000010671.16",551.4983679975,-2.18259800992839,0.605057286052559,-3.60725845343972,0.000309449386469773,0.0292024184810975
"ENSG00000015285.11",806.155887464162,-1.85116616971752,0.529952112193633,-3.49308197311447,0.00047747991200659,0.0362977576441232
"ENSG00000028277.21",488.479209304161,-2.2554772368548,0.608138538718729,-3.70882141692057,0.000208226218805705,0.0232592935920642
"ENSG00000066336.12",1424.81154755463,-1.56119095436454,0.468887171154643,-3.32956636565697,0.00086981332523251,0.0488734445107057
"ENSG00000073861.3",60.5870048181017,-2.93543374778658,0.625291527898608,-4.69450427011473,2.67254028578949e-06,0.00197674081084327
"ENSG00000086288.12",18.5275744003175,-1.76446044789003,0.504040327052217,-3.50063348742181,0.000464153715964153,0.0355812177725237
"ENSG00000086300.16",788.203235810654,-1.53242222422504,0.438943354191563,-3.49116169453671,0.000480925099967021,0.0363944628663415
"ENSG00000093100.13",5.51703752515137,-1.800543583547,0.526033600480391,-3.42286801052763,0.000619641573768937,0.040839560578859
"ENSG00000096996.16",260.611148764097,-1.75272094263253,0.481815394924971,-3.63774375226318,0.000275036857167823,0.0269782568821212
"ENSG00000100027.17",99.0673670365249,-1.19712760300536,0.333158479492327,-3.59326769899287,0.000326556785967509,0.0300752839168704
"ENSG00000100055.21",899.05671287587,-1.76469832260987,0.457293700584373,-3.8590042249757,0.000113849969753069,0.0172139896255924
"ENSG00000100292.18",1831.72429564986,-1.9005171007558,0.439901130657675,-4.32032783801767,1.55797566286491e-05,0.00567955858901681
"ENSG00000102445.20",341.961968339685,-2.06688934996438,0.600224893184022,-3.44352487448516,0.000574183772490137,0.0392908253404684
"ENSG00000104081.14",1165.25352365114,-1.53283258947578,0.345851644179026,-4.43205234173276,9.33403507643811e-06,0.00437730756479169
"ENSG00000104951.16",475.401115389958,-2.03945605382972,0.596426191447856,-3.41946092085398,0.000627453444081988,0.0410654906032877
"ENSG00000104972.15",353.067546472446,-2.15578935467324,0.576465895842025,-3.73966503521314,0.000184265636847527,0.0217560837917475
"ENSG00000105374.10",292.531795968259,-2.3677584376857,0.566993409949124,-4.17598934332968,2.9669370931302e-05,0.00837073891007157
"ENSG00000105383.15",181.609614490234,-1.80770318370224,0.48124459494062,-3.75630854394383,0.000172438078060688,0.0208292641398969
"ENSG00000105501.12",6.25322577184142,-2.16210622265389,0.641892886636765,-3.36832868484081,0.000756253795830714,0.0450901909161201
"ENSG00000105609.17",219.47130455935,-2.55582321136879,0.675200082617821,-3.78528272902396,0.000153533924760544,0.0196344061631861
"ENSG00000105610.6",2.42290474303433,-2.2176073981213,0.556714882129478,-3.98338084593459,6.79417437976462e-05,0.0127319574456546
"ENSG00000107099.16",1776.65481626108,-1.82911161380405,0.505095771550412,-3.62131642517917,0.000293107753400179,0.0284449641393713
"ENSG00000107551.21",2470.54051955171,-1.52183177463409,0.413341805552425,-3.68177560118842,0.000231615231325105,0.0247999370544299
"ENSG00000107798.18",5025.6888678563,-1.33305772299833,0.373137651543294,-3.57256287990454,0.000353504563958819,0.0309047924130979
"ENSG00000108691.9",2021.37595388117,-2.23562831896549,0.654981660075181,-3.41326857718257,0.000641886491898621,0.041332959114799
"ENSG00000108798.9",728.420482691297,-1.53483790071681,0.399773403895961,-3.83926966066067,0.000123400838650344,0.0178683108536717
"ENSG00000110031.13",980.642868743226,-1.4053772777877,0.411339649764793,-3.41658597363833,0.000634116377073587,0.0410731287650202
"ENSG00000111679.17",3234.23451398375,-1.35934844707367,0.308363965139171,-4.40825972146312,1.04204540199812e-05,0.00460728196333779
"ENSG00000112799.9",486.951535826842,-1.99509388707492,0.556491312315838,-3.58513033882297,0.000336909904015576,0.0303829895602831
"ENSG00000115956.10",1006.12919081278,-2.16577484123328,0.59821423633746,-3.62040003342806,0.000294147883563012,0.0284450357931765
"ENSG00000117009.12",76.4806373824575,-2.26163867814423,0.537575056819465,-4.20711238264122,2.58654529809021e-05,0.00769412882313422
